ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	25	0	1	0	ALDXANAU-RXN 
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	0	4	0	0	
|1CMET2-PWY|	N10-formyl-tetrahydrofolate biosynthesis	false	77	1	0	0	1.5.1.20-RXN HOMOCYSMETB12-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN GLYOHMETRANS-RXN THYMIDYLATESYN-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	0	0	0	0	
|2ASDEG-PWY|	orthanilate degradation	false	25	1	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	false	50	0	1	0	PHENDEHYD-RXN 
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	57	0	1	0	CHMS-DEHYDROGENASE-RXN 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN SUCCSEMIALDDEHYDROG-RXN HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN 
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	true	66	0	1	1	4-HYDROXYMANDELATE-OXY-RXN HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN 
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	0	3	0	0	
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	false	66	0	1	0	ACETYL-COA-ACETYLTRANSFER-RXN ACETYL-COA-ACETYLTRANSFER-RXN 
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	0	0	0	
