# gapseq version: 1.1 4a17997
# Sequence DB md5sum: 1139b8e (2021-06-02, Bacteria)
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	25	0	1	0	ALDXANAU-RXN 
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	14	0	2	0	MALEYLACETATE-REDUCTASE-RXN 
|1CMET2-PWY|	folate transformations III (E. coli)	true	88	0	0	0	DIHYDROFOLATEREDUCT-RXN 1.5.1.20-RXN HOMOCYSMETB12-RXN GCVMULTI-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN GLYOHMETRANS-RXN THYMIDYLATESYN-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	50	0	0	0	AMINOBENZCOALIG-RXN 
|2ASDEG-PWY|	orthanilate degradation	false	25	1	0	0	
|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	false	0	0	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	false	50	0	1	0	PHENDEHYD-RXN 
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	57	0	1	0	CHMS-DEHYDROGENASE-RXN 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN SUCCSEMIALDDEHYDROG-RXN HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN 
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	true	66	0	1	1	4-HYDROXYMANDELATE-OXY-RXN HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN 
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	66	0	0	0	COLCYD-RXN CYDTER-RXN 
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	false	50	0	1	0	ACETYL-COA-ACETYLTRANSFER-RXN 
|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	false	66	0	0	0	2.1.1.5-RXN HOMOCYSMETB12-RXN 
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	0	0	0	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	false	66	0	0	0	ALANINE-AMINOTRANSFERASE-RXN GLUTAMATE-DEHYDROGENASE-RXN 
|ALADEG-PWY|	L-alanine degradation I	true	100	0	1	1	ALARACECAT-RXN DALADEHYDROG-RXN 
|ALANINE-DEG3-PWY|	L-alanine degradation III	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN 
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN 
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN 
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	0	0	1	0	
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
